hillnumber, hillname, region, parent, classification, metres, feet, gridref, gridref10, colgridref, colheight, drop, feature, observations, survey, revision, comments, map50, map25, xcoord, ycoord, latitude, longitude, country, climbed, tumponly,Ma,Ma=,Hu,Hu=,M,MT,Mur,F,C,CT,CTM,CTC,G,GT,GTM,GTC,GTG,GTH,D,DT,DN,Hew,N,Tu,Sim,5,5D,5H,4,3,2,1,0,sMa,sHu,sMur,sCT,sGT,sHew,s5,s5D,s5H,s4,W,WO,B,Sy,Fel,CoH,CoU,CoA,CoL,xMT,xC,xN,xDT,O,Un,BL,Bg,T100,P600,P500
2319,"Skiddaw","34A",,"Ma,F,Hew,N, W,B","931","3054","NY260290","NY 26042 29079","NY368310","222","709","rock 5m S of trig point between trig point and shelter","note Wainwright and Birkett describe trig point as summit","obvious summit","2001-10-28","","89 90","4S","326041","529080","54.651382","-3.147776","E","",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
2320,"Blencathra - Hallsfell Top","34A",,"Ma,Hew,N,W, B","868","2848","NY323277","NY 32346 27708","NY295289","407","461","rock 1m N of trig point","ground 2m N of trig point about as high","Abney level","2009-06-08","","90","5S","332345","527709","54.63995","-3.049773","E","",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2321,"Skiddaw Little Man","34A",2319,"Hew,N,W,B","865","2838","NY266277","NY 26676 27793","NY265280","804","61","rock 5m NW of cairn","","Abney level","2001-10-28","","89 90","4S","326675","527794","54.63992","-3.137629","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2322,"Gategill Fell Top","34A",2320,"N,B","851","2792","NY317273","NY 31784 27356","NY319275","833","18","overhanging rock 5m E of cairn","","Abney level","2012-08-15","","90","5S","331783","527357","54.636711","-3.058397","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2323,"Atkinson Pike [Foule Crag]","34A",2320,"N,B","845","2772","NY324283","NY 32435 28300","NY323279","829","16","rock 3m W of cairn","rock is about 50cm higher than cairn base","obvious summit","2012-08-15","","90","5S","332434","528301","54.645281","-3.048532","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2324,"Knowe Crags [Blease Fell]","34A",2320,"B,xN","805","2641","NY311270","NY 31198 27028","NY312271","791","14","rock 2m SE of cairn","","Abney level","2009-06-08","","90","5S","331197","527029","54.633684","-3.067398","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2325,"Carl Side","34A",2319,"Hew,N,W,B","746","2448","NY254280","NY 25496 28088","NY255282","716","30","loose pile of rocks","","Abney level","2007-03-10","","89 90","4S","325495","528089","54.642398","-3.155984","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2326,"Long Side","34A",2319,"Hew,N,W,B","734","2408","NY248284","NY 24880 28443","NY251283","694","40","cairn","ground 35m W at NY 24844 28447 is 1.5m lower","Abney level","2001-10-28","","89 90","4S","324879","528444","54.645496","-3.165618","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2327,"Lonscale Fell","34A",2319,"Hew,N,W,B","715","2346","NY285271","NY 28545 27144","NY280273","665","50","no feature 25m S of cairn","cairn (NY 28539 27172) is Wainwright and Birkett summit","Abney level","2001-10-28","","89 90","4S","328544","527145","54.634357","-3.108518","E","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2328,"Knott","34A",,"Ma,Hew,N,W, B","710","2329","NY296329","NY 29617 32984","NY279303","468","242","cairn","","obvious summit","2001-10-28","","89 90","4N","329616","532985","54.686982","-3.093322","E","",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
